Provinsi,Tahun,Persentase_Kemiskinan
SULAWESI BARAT,2023,11.49
SULAWESI BARAT,2024,11.21
SULAWESI BARAT,2025,10.41
SULAWESI SELATAN,2015,9.39
SULAWESI SELATAN,2016,9.4
SULAWESI SELATAN,2017,9.38
SULAWESI SELATAN,2018,9.06
SULAWESI SELATAN,2019,8.69
SULAWESI SELATAN,2020,8.72
SULAWESI SELATAN,2021,8.78
SULAWESI SELATAN,2022,8.63
SULAWESI SELATAN,2023,8.7
SULAWESI SELATAN,2024,8.06
SULAWESI SELATAN,2025,7.6
SULAWESI TENGAH,2015,14.66
SULAWESI TENGAH,2016,14.45
SULAWESI TENGAH,2017,14.14
SULAWESI TENGAH,2018,14.01
SULAWESI TENGAH,2019,13.48
SULAWESI TENGAH,2020,12.92
SULAWESI TENGAH,2021,13.0
SULAWESI TENGAH,2022,12.33
SULAWESI TENGAH,2023,12.41
SULAWESI TENGAH,2024,11.77
SULAWESI TENGAH,2025,10.92
SULAWESI TENGGARA,2015,12.9
SULAWESI TENGGARA,2016,12.88
SULAWESI TENGGARA,2017,12.81
SULAWESI TENGGARA,2018,11.63
SULAWESI TENGGARA,2019,11.24
SULAWESI TENGGARA,2020,11.0
SULAWESI TENGGARA,2021,11.66
SULAWESI TENGGARA,2022,11.17
SULAWESI TENGGARA,2023,11.43
SULAWESI TENGGARA,2024,11.21
SULAWESI TENGGARA,2025,10.54
SULAWESI UTARA,2015,8.65
SULAWESI UTARA,2016,8.34
SULAWESI UTARA,2017,8.1
SULAWESI UTARA,2018,7.8
SULAWESI UTARA,2019,7.66
SULAWESI UTARA,2020,7.62
SULAWESI UTARA,2021,7.77
SULAWESI UTARA,2022,7.28
SULAWESI UTARA,2023,7.38
SULAWESI UTARA,2024,7.25
SULAWESI UTARA,2025,6.71
SUMATERA BARAT,2015,7.31
SUMATERA BARAT,2016,7.09
SUMATERA BARAT,2017,6.87
SUMATERA BARAT,2018,6.65
SUMATERA BARAT,2019,6.42
SUMATERA BARAT,2020,6.28
SUMATERA BARAT,2021,6.63
SUMATERA BARAT,2022,5.92
SUMATERA BARAT,2023,5.95
SUMATERA BARAT,2024,5.97
SUMATERA BARAT,2025,5.35
SUMATERA SELATAN,2015,14.25
SUMATERA SELATAN,2016,13.54
SUMATERA SELATAN,2017,13.19
SUMATERA SELATAN,2018,12.8
SUMATERA SELATAN,2019,12.71
SUMATERA SELATAN,2020,12.66
SUMATERA SELATAN,2021,12.84
SUMATERA SELATAN,2022,11.9
SUMATERA SELATAN,2023,11.78
SUMATERA SELATAN,2024,10.97
SUMATERA SELATAN,2025,10.15
SUMATERA UTARA,2015,10.53
SUMATERA UTARA,2016,10.35
SUMATERA UTARA,2017,10.22
SUMATERA UTARA,2018,9.22
SUMATERA UTARA,2019,8.83
SUMATERA UTARA,2020,8.75
SUMATERA UTARA,2021,9.01
SUMATERA UTARA,2022,8.42
SUMATERA UTARA,2023,8.15
SUMATERA UTARA,2024,7.99
SUMATERA UTARA,2025,7.36
