Provinsi,Tahun,RLS
SULAWESI BARAT,2022,8.47
SULAWESI BARAT,2023,8.48
SULAWESI BARAT,2024,8.56
SULAWESI BARAT,2025,8.91
SULAWESI SELATAN,2015,8.2
SULAWESI SELATAN,2016,8.31
SULAWESI SELATAN,2017,8.42
SULAWESI SELATAN,2018,8.45
SULAWESI SELATAN,2019,8.73
SULAWESI SELATAN,2020,8.86
SULAWESI SELATAN,2021,8.95
SULAWESI SELATAN,2022,9.09
SULAWESI SELATAN,2023,9.12
SULAWESI SELATAN,2024,9.22
SULAWESI SELATAN,2025,9.38
SULAWESI TENGAH,2015,8.35
SULAWESI TENGAH,2016,8.56
SULAWESI TENGAH,2017,8.64
SULAWESI TENGAH,2018,8.74
SULAWESI TENGAH,2019,8.98
SULAWESI TENGAH,2020,9.09
SULAWESI TENGAH,2021,9.18
SULAWESI TENGAH,2022,9.17
SULAWESI TENGAH,2023,9.22
SULAWESI TENGAH,2024,9.28
SULAWESI TENGAH,2025,9.38
SULAWESI TENGGARA,2015,8.74
SULAWESI TENGGARA,2016,8.86
SULAWESI TENGGARA,2017,8.93
SULAWESI TENGGARA,2018,9.03
SULAWESI TENGGARA,2019,9.25
SULAWESI TENGGARA,2020,9.41
SULAWESI TENGGARA,2021,9.52
SULAWESI TENGGARA,2022,9.59
SULAWESI TENGGARA,2023,9.62
SULAWESI TENGGARA,2024,9.74
SULAWESI TENGGARA,2025,9.9
SULAWESI UTARA,2015,9.19
SULAWESI UTARA,2016,9.31
SULAWESI UTARA,2017,9.4
SULAWESI UTARA,2018,9.51
SULAWESI UTARA,2019,9.63
SULAWESI UTARA,2020,9.74
SULAWESI UTARA,2021,9.83
SULAWESI UTARA,2022,9.87
SULAWESI UTARA,2023,9.94
SULAWESI UTARA,2024,10.02
SULAWESI UTARA,2025,10.1
SUMATERA BARAT,2015,8.85
SUMATERA BARAT,2016,8.97
SUMATERA BARAT,2017,9.02
SUMATERA BARAT,2018,9.1
SUMATERA BARAT,2019,9.22
SUMATERA BARAT,2020,9.34
SUMATERA BARAT,2021,9.46
SUMATERA BARAT,2022,9.51
SUMATERA BARAT,2023,9.59
SUMATERA BARAT,2024,9.72
SUMATERA BARAT,2025,10.03
SUMATERA SELATAN,2015,8.26
SUMATERA SELATAN,2016,8.32
SUMATERA SELATAN,2017,8.41
SUMATERA SELATAN,2018,8.48
SUMATERA SELATAN,2019,8.6
SUMATERA SELATAN,2020,8.68
SUMATERA SELATAN,2021,8.78
SUMATERA SELATAN,2022,8.82
SUMATERA SELATAN,2023,8.9
SUMATERA SELATAN,2024,8.98
SUMATERA SELATAN,2025,9.28
SUMATERA UTARA,2015,9.34
SUMATERA UTARA,2016,9.46
SUMATERA UTARA,2017,9.55
SUMATERA UTARA,2018,9.61
SUMATERA UTARA,2019,9.71
SUMATERA UTARA,2020,9.83
SUMATERA UTARA,2021,9.88
SUMATERA UTARA,2022,9.99
SUMATERA UTARA,2023,10.07
SUMATERA UTARA,2024,10.18
SUMATERA UTARA,2025,10.29
