Provinsi,Tahun,TPT_Agustus
PAPUA BARAT,2025,4.55
RIAU,2015,7.83
RIAU,2016,7.43
RIAU,2017,6.22
RIAU,2018,5.98
RIAU,2019,5.76
RIAU,2020,6.32
RIAU,2021,4.42
RIAU,2022,4.37
RIAU,2023,4.23
RIAU,2024,3.7
RIAU,2025,4.16
SULAWESI BARAT,2015,3.35
SULAWESI BARAT,2016,3.33
SULAWESI BARAT,2017,3.21
SULAWESI BARAT,2018,3.01
SULAWESI BARAT,2019,2.98
SULAWESI BARAT,2020,3.32
SULAWESI BARAT,2021,3.13
SULAWESI BARAT,2022,2.34
SULAWESI BARAT,2023,2.27
SULAWESI BARAT,2024,2.68
SULAWESI BARAT,2025,2.86
SULAWESI SELATAN,2015,5.95
SULAWESI SELATAN,2016,4.8
SULAWESI SELATAN,2017,5.61
SULAWESI SELATAN,2018,4.94
SULAWESI SELATAN,2019,4.62
SULAWESI SELATAN,2020,6.31
SULAWESI SELATAN,2021,5.72
SULAWESI SELATAN,2022,4.51
SULAWESI SELATAN,2023,4.33
SULAWESI SELATAN,2024,4.19
SULAWESI SELATAN,2025,4.21
SULAWESI TENGAH,2015,4.1
SULAWESI TENGAH,2016,3.29
SULAWESI TENGAH,2017,3.81
SULAWESI TENGAH,2018,3.37
SULAWESI TENGAH,2019,3.11
SULAWESI TENGAH,2020,3.77
SULAWESI TENGAH,2021,3.75
SULAWESI TENGAH,2022,3.0
SULAWESI TENGAH,2023,2.95
SULAWESI TENGAH,2024,2.94
SULAWESI TENGAH,2025,2.92
SULAWESI TENGGARA,2015,5.55
SULAWESI TENGGARA,2016,2.72
SULAWESI TENGGARA,2017,3.3
SULAWESI TENGGARA,2018,3.19
SULAWESI TENGGARA,2019,3.52
SULAWESI TENGGARA,2020,4.58
SULAWESI TENGGARA,2021,3.92
SULAWESI TENGGARA,2022,3.36
SULAWESI TENGGARA,2023,3.15
SULAWESI TENGGARA,2024,3.09
SULAWESI TENGGARA,2025,3.31
SULAWESI UTARA,2015,9.03
SULAWESI UTARA,2016,6.18
SULAWESI UTARA,2017,7.18
SULAWESI UTARA,2018,6.61
SULAWESI UTARA,2019,6.01
SULAWESI UTARA,2020,7.37
SULAWESI UTARA,2021,7.06
SULAWESI UTARA,2022,6.61
SULAWESI UTARA,2023,6.1
SULAWESI UTARA,2024,5.85
SULAWESI UTARA,2025,5.99
SUMATERA BARAT,2015,6.89
SUMATERA BARAT,2016,5.09
SUMATERA BARAT,2017,5.58
SUMATERA BARAT,2018,5.66
SUMATERA BARAT,2019,5.38
SUMATERA BARAT,2020,6.88
SUMATERA BARAT,2021,6.52
SUMATERA BARAT,2022,6.28
SUMATERA BARAT,2023,5.94
SUMATERA BARAT,2024,5.75
SUMATERA BARAT,2025,5.62
SUMATERA SELATAN,2015,6.07
SUMATERA SELATAN,2016,4.31
SUMATERA SELATAN,2017,4.39
SUMATERA SELATAN,2018,4.27
SUMATERA SELATAN,2019,4.53
SUMATERA SELATAN,2020,5.51
SUMATERA SELATAN,2021,4.98
SUMATERA SELATAN,2022,4.63
SUMATERA SELATAN,2023,4.11
SUMATERA SELATAN,2024,3.86
SUMATERA SELATAN,2025,3.69
SUMATERA UTARA,2015,6.71
SUMATERA UTARA,2016,5.84
SUMATERA UTARA,2017,5.6
SUMATERA UTARA,2018,5.55
SUMATERA UTARA,2019,5.39
SUMATERA UTARA,2020,6.91
SUMATERA UTARA,2021,6.33
SUMATERA UTARA,2022,6.16
SUMATERA UTARA,2023,5.89
SUMATERA UTARA,2024,5.6
SUMATERA UTARA,2025,5.32
