Provinsi,Tahun,Rata_Rata_Lama_Sekolah,Tingkat_Pengangguran_Terbuka,Persentase_Penduduk_Miskin
MALUKU UTARA,2020,9.42,5.15,6.78
MALUKU UTARA,2021,9.51,4.71,6.89
MALUKU UTARA,2022,9.6,3.98,6.23
MALUKU UTARA,2023,9.61,4.31,6.46
MALUKU UTARA,2024,9.7,4.03,6.32
MALUKU UTARA,2025,9.78,4.55,5.81
NUSA TENGGARA BARAT,2015,7.51,5.69,17.1
NUSA TENGGARA BARAT,2016,7.57,3.94,16.48
NUSA TENGGARA BARAT,2017,7.64,3.32,16.07
NUSA TENGGARA BARAT,2018,7.69,3.58,14.75
NUSA TENGGARA BARAT,2019,7.98,3.28,14.56
NUSA TENGGARA BARAT,2020,8.08,4.22,13.97
NUSA TENGGARA BARAT,2021,8.13,3.01,14.14
NUSA TENGGARA BARAT,2022,8.31,2.89,13.68
NUSA TENGGARA BARAT,2023,8.39,2.8,13.85
NUSA TENGGARA BARAT,2024,8.5,2.73,12.91
NUSA TENGGARA BARAT,2025,8.87,3.06,11.78
NUSA TENGGARA TIMUR,2015,7.4,3.83,22.61
NUSA TENGGARA TIMUR,2016,7.54,3.25,22.19
NUSA TENGGARA TIMUR,2017,7.62,3.27,21.85
NUSA TENGGARA TIMUR,2018,7.7,2.85,21.35
NUSA TENGGARA TIMUR,2019,7.98,3.14,21.09
NUSA TENGGARA TIMUR,2020,8.09,4.28,20.9
NUSA TENGGARA TIMUR,2021,8.2,3.77,20.99
NUSA TENGGARA TIMUR,2022,8.25,3.54,20.05
NUSA TENGGARA TIMUR,2023,8.31,3.14,19.96
NUSA TENGGARA TIMUR,2024,8.48,3.02,19.48
NUSA TENGGARA TIMUR,2025,8.88,3.31,18.6
PAPUA,2015,6.27,3.99,28.17
PAPUA,2016,6.48,3.35,28.54
PAPUA,2017,6.58,3.62,27.62
PAPUA,2018,6.66,3.0,27.74
PAPUA,2019,6.85,3.51,27.53
PAPUA,2020,6.96,4.28,26.64
PAPUA,2021,7.05,3.33,26.86
PAPUA,2022,7.31,2.83,26.56
PAPUA,2023,7.34,2.67,26.03
PAPUA BARAT,2015,9.47,8.08,25.82
PAPUA BARAT,2016,9.57,7.46,25.43
PAPUA BARAT,2017,9.67,6.49,25.1
PAPUA BARAT,2018,9.73,6.45,23.01
PAPUA BARAT,2019,9.92,6.43,22.17
PAPUA BARAT,2020,10.0,6.8,21.37
PAPUA BARAT,2021,10.03,5.84,21.84
PAPUA BARAT,2022,10.14,5.37,21.33
